head := query_10Centriod
0-th query  distance:=60440
237-th query  distance:=17226.6
238-th query  distance:=38703.1
239-th query  distance:=16412.5
240-th query  distance:=29176.7
241-th query  distance:=22467.6
242-th query  distance:=9628.26
243-th query  distance:=50071.6
244-th query  distance:=19017.3
245-th query  distance:=25990.5
246-th query  distance:=49853.6
247-th query  distance:=40613.5
248-th query  distance:=42647.4
249-th query  distance:=2719.6
250-th query  distance:=56462.1
251-th query  distance:=39478.1
252-th query  distance:=30696.1
253-th query  distance:=82166.4
254-th query  distance:=43270.9
255-th query  distance:=56633.1
256-th query  distance:=17412.2
257-th query  distance:=34590.5
258-th query  distance:=38488.1
259-th query  distance:=40179.4
260-th query  distance:=39823.6
261-th query  distance:=47949.4
262-th query  distance:=36471.3
263-th query  distance:=17330.7
264-th query  distance:=65168.4
265-th query  distance:=15841.8
266-th query  distance:=62002.9
267-th query  distance:=15162.9
268-th query  distance:=22997.4
269-th query  distance:=11861
270-th query  distance:=10093.5
271-th query  distance:=44614.9
272-th query  distance:=42911.7
273-th query  distance:=48049.6
274-th query  distance:=30743.5
275-th query  distance:=39275.5
276-th query  distance:=32462.8
277-th query  distance:=31342.1
278-th query  distance:=14900.2
279-th query  distance:=41249.9
280-th query  distance:=50591
281-th query  distance:=42762.2
282-th query  distance:=16060.8
283-th query  distance:=31598.3
284-th query  distance:=47573.4
285-th query  distance:=31938.3
286-th query  distance:=50177.5
287-th query  distance:=70516.3
288-th query  distance:=44910.3
289-th query  distance:=35291.5
290-th query  distance:=57117.1
291-th query  distance:=49919.2
292-th query  distance:=37268.6
293-th query  distance:=2399.69
294-th query  distance:=60996
295-th query  distance:=41042.2
296-th query  distance:=27513
297-th query  distance:=47074.6
298-th query  distance:=20557.3
299-th query  distance:=24095.7
300-th query  distance:=41823.1
301-th query  distance:=39200.5
302-th query  distance:=53593.8
303-th query  distance:=48914.8
304-th query  distance:=40652.9
305-th query  distance:=45675.5
306-th query  distance:=53153.7
307-th query  distance:=40613.9
308-th query  distance:=46275.1
309-th query  distance:=59893
310-th query  distance:=28903.9
311-th query  distance:=43860.4
312-th query  distance:=47598.1
313-th query  distance:=23340.1
314-th query  distance:=43719.4
315-th query  distance:=45759.1
316-th query  distance:=55253.5
317-th query  distance:=27968.3
318-th query  distance:=60630.2
319-th query  distance:=48368.6
320-th query  distance:=47160.5
321-th query  distance:=48202.1
322-th query  distance:=55852.9
323-th query  distance:=52954.5
324-th query  distance:=37720.5
325-th query  distance:=60895
326-th query  distance:=28284.9
327-th query  distance:=29363.2
328-th query  distance:=28633.7
329-th query  distance:=29830
330-th query  distance:=16125.7
331-th query  distance:=22053.5
332-th query  distance:=30618.2
333-th query  distance:=68751
334-th query  distance:=83201.9
335-th query  distance:=45898
336-th query  distance:=29848.6
337-th query  distance:=41248.1
338-th query  distance:=41798.5
339-th query  distance:=38247.1
340-th query  distance:=15460.1
341-th query  distance:=30775.4
342-th query  distance:=57103.4
343-th query  distance:=30904.2
344-th query  distance:=39212
345-th query  distance:=33471.7
346-th query  distance:=60146.8
347-th query  distance:=23641.3
348-th query  distance:=40133.4
349-th query  distance:=32908
350-th query  distance:=32666.7
351-th query  distance:=13552.8
352-th query  distance:=60077
353-th query  distance:=32337.5
354-th query  distance:=61838.2
355-th query  distance:=61437.4
356-th query  distance:=60942.9
357-th query  distance:=20393.1
358-th query  distance:=15094.1
359-th query  distance:=11303.8
360-th query  distance:=26369.6
361-th query  distance:=12323.9
362-th query  distance:=49363.4
363-th query  distance:=57647.3
364-th query  distance:=64591.4
365-th query  distance:=48819.3
366-th query  distance:=32654.6
367-th query  distance:=34456.2
368-th query  distance:=27715.7
369-th query  distance:=27431.5
370-th query  distance:=69900.9
371-th query  distance:=29709
372-th query  distance:=29037.7
373-th query  distance:=36524.4
374-th query  distance:=71622.8
375-th query  distance:=39458
376-th query  distance:=53161.5
377-th query  distance:=31399.6
378-th query  distance:=25445
379-th query  distance:=37320.5
380-th query  distance:=46752
381-th query  distance:=70030.1
382-th query  distance:=45348.8
383-th query  distance:=41516.1
384-th query  distance:=32596.5
385-th query  distance:=56693.8
386-th query  distance:=20635.3
387-th query  distance:=22667.9
388-th query  distance:=56955.5
389-th query  distance:=24550
390-th query  distance:=44701.3
391-th query  distance:=25064.8
392-th query  distance:=28528.1
393-th query  distance:=34502.4
394-th query  distance:=41880.2
395-th query  distance:=43797.7
396-th query  distance:=50851.1
397-th query  distance:=59824.3
398-th query  distance:=21473.3
399-th query  distance:=68245
400-th query  distance:=52145.7
401-th query  distance:=38118.5
402-th query  distance:=50788.7
403-th query  distance:=39959.4
404-th query  distance:=36864.1
405-th query  distance:=43497.9
406-th query  distance:=47057.5
407-th query  distance:=66320.6
408-th query  distance:=43749.6
409-th query  distance:=34245.3
410-th query  distance:=56197.7
411-th query  distance:=59059.4
412-th query  distance:=35264.6
413-th query  distance:=26989.5
414-th query  distance:=15312.8
415-th query  distance:=54963.5
416-th query  distance:=21839.5
417-th query  distance:=23833.7
418-th query  distance:=25999.1
419-th query  distance:=32017.9
420-th query  distance:=33212.6
421-th query  distance:=45493.8
422-th query  distance:=11036
423-th query  distance:=16744.5
424-th query  distance:=42891.3
425-th query  distance:=5823.54
426-th query  distance:=64300.8
427-th query  distance:=39568.8
428-th query  distance:=47241.8
429-th query  distance:=38512.5
430-th query  distance:=14279.8
431-th query  distance:=31462
432-th query  distance:=58720
433-th query  distance:=16834.9
434-th query  distance:=1703.6
435-th query  distance:=55603.6
436-th query  distance:=6185.43
437-th query  distance:=36162.2
438-th query  distance:=38128
439-th query  distance:=48691.2
440-th query  distance:=64159
441-th query  distance:=24238.4
442-th query  distance:=15931.6
443-th query  distance:=45802.4
444-th query  distance:=42070.3
445-th query  distance:=43984.8
446-th query  distance:=46063.1
447-th query  distance:=25047.7
448-th query  distance:=52813.9
449-th query  distance:=19168
450-th query  distance:=57709.6
451-th query  distance:=52807.2
452-th query  distance:=48639.6
453-th query  distance:=24169.9
454-th query  distance:=56589.2
455-th query  distance:=38811.4
456-th query  distance:=35224.5
457-th query  distance:=55601.6
458-th query  distance:=13374.1
459-th query  distance:=35992.1
460-th query  distance:=37968.3
461-th query  distance:=43553.3
462-th query  distance:=30794.5
463-th query  distance:=53829.4
464-th query  distance:=27245
465-th query  distance:=45214
466-th query  distance:=76705.5
467-th query  distance:=37019.6
468-th query  distance:=32774.9
469-th query  distance:=49592.3
470-th query  distance:=39208.2
471-th query  distance:=75904.4
472-th query  distance:=41221.4
473-th query  distance:=20577.2
474-th query  distance:=46472.7
475-th query  distance:=52220.1
476-th query  distance:=52932.8
477-th query  distance:=47220.6
478-th query  distance:=39907.5
479-th query  distance:=49914.5
480-th query  distance:=23667.9
481-th query  distance:=46830.2
482-th query  distance:=19079.4
483-th query  distance:=32953.4
484-th query  distance:=2196.29
485-th query  distance:=50091.1
486-th query  distance:=29398.4
487-th query  distance:=25466.3
488-th query  distance:=25627.6
489-th query  distance:=32206
490-th query  distance:=60176.2
491-th query  distance:=45954.3
492-th query  distance:=13102.5
493-th query  distance:=5669.65
494-th query  distance:=45832.2
495-th query  distance:=31562.6
496-th query  distance:=51442.9
497-th query  distance:=28987.5
498-th query  distance:=47079
499-th query  distance:=32966.2
500-th query  distance:=36275.7
501-th query  distance:=65124
502-th query  distance:=26682.5
503-th query  distance:=46554.5
504-th query  distance:=33866.9
505-th query  distance:=16154.8
506-th query  distance:=63281.3
507-th query  distance:=19882.4
508-th query  distance:=50486.1
509-th query  distance:=30946.4
510-th query  distance:=27449.3
511-th query  distance:=71810.9
512-th query  distance:=55095.7
513-th query  distance:=50713.8
514-th query  distance:=49153.6
515-th query  distance:=32131.9
516-th query  distance:=18758
517-th query  distance:=60570.2
518-th query  distance:=46698.1
519-th query  distance:=40694.4
520-th query  distance:=23101.8
521-th query  distance:=49863.2
522-th query  distance:=48982.4
523-th query  distance:=43472.1
524-th query  distance:=66254.9
525-th query  distance:=65199.2
526-th query  distance:=41285.8
527-th query  distance:=35501.9
528-th query  distance:=42657.5
529-th query  distance:=38214.1
530-th query  distance:=39413.3
531-th query  distance:=37027.2
532-th query  distance:=49858.7
533-th query  distance:=32019.2
534-th query  distance:=27509.2
535-th query  distance:=5980.19
536-th query  distance:=20094.4
537-th query  distance:=41305.4
538-th query  distance:=52890.1
539-th query  distance:=39140.4
540-th query  distance:=40753.8
541-th query  distance:=44784.2
542-th query  distance:=47206.6
543-th query  distance:=34213.9
544-th query  distance:=48560.2
545-th query  distance:=25841.7
546-th query  distance:=42590.8
547-th query  distance:=25661.3
548-th query  distance:=14739.7
549-th query  distance:=46929.7
550-th query  distance:=47597.2
551-th query  distance:=45036.5
552-th query  distance:=50384.3
553-th query  distance:=54625.6
554-th query  distance:=20045.1
555-th query  distance:=50601.1
556-th query  distance:=49713.5
557-th query  distance:=59378.8
558-th query  distance:=51435.3
559-th query  distance:=28944.4
560-th query  distance:=56172.8
561-th query  distance:=56547.2
562-th query  distance:=56108.9
563-th query  distance:=70480.2
564-th query  distance:=13278.7
565-th query  distance:=53083.5
566-th query  distance:=29806.1
567-th query  distance:=57778.5
568-th query  distance:=56524
569-th query  distance:=23387.6
570-th query  distance:=47079.6
571-th query  distance:=50689.6
572-th query  distance:=28020.9
573-th query  distance:=46588.1
574-th query  distance:=55251.2
575-th query  distance:=56854.5
576-th query  distance:=38974.9
577-th query  distance:=29661.1
578-th query  distance:=31263.2
579-th query  distance:=57596.2
580-th query  distance:=48312.6
581-th query  distance:=31573.5
582-th query  distance:=55495.6
583-th query  distance:=55720.4
584-th query  distance:=27974.5
585-th query  distance:=49843.8
586-th query  distance:=48004
587-th query  distance:=40195.5
588-th query  distance:=50161.2
589-th query  distance:=35287.7
590-th query  distance:=46947.7
591-th query  distance:=45977.3
592-th query  distance:=44479.6
593-th query  distance:=38633.4
594-th query  distance:=27727.5
595-th query  distance:=3757.42
596-th query  distance:=46092.3
597-th query  distance:=48211.8
598-th query  distance:=45947.4
599-th query  distance:=15892.5
600-th query  distance:=38424.8
601-th query  distance:=3996.97
602-th query  distance:=32580.6
603-th query  distance:=39122.2
604-th query  distance:=50181.4
605-th query  distance:=15844.7
606-th query  distance:=69044.4
607-th query  distance:=10949.6
608-th query  distance:=66916.4
609-th query  distance:=58071.9
610-th query  distance:=55915.7
611-th query  distance:=30522.5
612-th query  distance:=58501.2
613-th query  distance:=50423.5
614-th query  distance:=56718.7
615-th query  distance:=35172.5
616-th query  distance:=58610.6
617-th query  distance:=17199.8
618-th query  distance:=50523.3
619-th query  distance:=46777.5
620-th query  distance:=49869.6
621-th query  distance:=12944.6
622-th query  distance:=67252.9
623-th query  distance:=54215.3
624-th query  distance:=38464.4
625-th query  distance:=56186.2
626-th query  distance:=45345.7
627-th query  distance:=24533.7
628-th query  distance:=46368.3
629-th query  distance:=32899.2
630-th query  distance:=63255
631-th query  distance:=73516.8
632-th query  distance:=58587.1
633-th query  distance:=75397.1
634-th query  distance:=25175.5
635-th query  distance:=50799.8
636-th query  distance:=32437.1
637-th query  distance:=34113.8
638-th query  distance:=64790.2
639-th query  distance:=40240.3
640-th query  distance:=14110.4
641-th query  distance:=48583.5
642-th query  distance:=51157.4
643-th query  distance:=59938.2
644-th query  distance:=26085.3
645-th query  distance:=20385.8
646-th query  distance:=2685.69
647-th query  distance:=65112
648-th query  distance:=14451.4
649-th query  distance:=47592.6
650-th query  distance:=44706.5
651-th query  distance:=49635
652-th query  distance:=43948.1
653-th query  distance:=52640
654-th query  distance:=65271.4
655-th query  distance:=71743.4
656-th query  distance:=47236.6
657-th query  distance:=62916.6
658-th query  distance:=59416.3
659-th query  distance:=34389.2
660-th query  distance:=24626.6
661-th query  distance:=61446.8
662-th query  distance:=33548.1
663-th query  distance:=31644.5
664-th query  distance:=55567.1
665-th query  distance:=2924.89
666-th query  distance:=11131.6
667-th query  distance:=28414
668-th query  distance:=9335.41
669-th query  distance:=42644.3
670-th query  distance:=43784.3
671-th query  distance:=33416.2
672-th query  distance:=48609.6
673-th query  distance:=51140.8
674-th query  distance:=36887.8
675-th query  distance:=48951.4
676-th query  distance:=46368.5
677-th query  distance:=74593.6
678-th query  distance:=8607.36
679-th query  distance:=57018.4
680-th query  distance:=32307.1
681-th query  distance:=56306.1
682-th query  distance:=47649.8
683-th query  distance:=35460.2
684-th query  distance:=58864.7
685-th query  distance:=28187.1
686-th query  distance:=60399.7
687-th query  distance:=38728.4
688-th query  distance:=34024.1
689-th query  distance:=4722.09
690-th query  distance:=51423.8
691-th query  distance:=49300.1
692-th query  distance:=44106.7
693-th query  distance:=10700.1
694-th query  distance:=30278.8
695-th query  distance:=12091.5
696-th query  distance:=62767.1
697-th query  distance:=28163.1
698-th query  distance:=54751.4
699-th query  distance:=40748.2
700-th query  distance:=45684.7
701-th query  distance:=47935.3
702-th query  distance:=73769.4
703-th query  distance:=4906.64
704-th query  distance:=47191.6
705-th query  distance:=72831
706-th query  distance:=57663.8
707-th query  distance:=40064.2
708-th query  distance:=39403.5
709-th query  distance:=14474.1
710-th query  distance:=51019.1
711-th query  distance:=53640.3
712-th query  distance:=26532.5
713-th query  distance:=1574.85
714-th query  distance:=47634.8
715-th query  distance:=30428.4
716-th query  distance:=21324.9
717-th query  distance:=37486.4
718-th query  distance:=44551.5
719-th query  distance:=65982.3
720-th query  distance:=37797.8
721-th query  distance:=52829.9
722-th query  distance:=68854.8
723-th query  distance:=62787.5
724-th query  distance:=26296.8
725-th query  distance:=60542.3
726-th query  distance:=51644.4
727-th query  distance:=44454.2
728-th query  distance:=38065.7
729-th query  distance:=39562
730-th query  distance:=36928.2
731-th query  distance:=49226.7
732-th query  distance:=47785.3
733-th query  distance:=64517.8
734-th query  distance:=9327.6
735-th query  distance:=39836.8
736-th query  distance:=42277.2
737-th query  distance:=63392.5
738-th query  distance:=14515
739-th query  distance:=55453.1
740-th query  distance:=15977.6
741-th query  distance:=34635.3
742-th query  distance:=97068.9
743-th query  distance:=41375.2
744-th query  distance:=30993.7
745-th query  distance:=62238.2
746-th query  distance:=39610
747-th query  distance:=18079.8
748-th query  distance:=47333
749-th query  distance:=7470.93
750-th query  distance:=21543.1
751-th query  distance:=30384.9
752-th query  distance:=2268.5
753-th query  distance:=67347.3
754-th query  distance:=44928.5
755-th query  distance:=71103.8
756-th query  distance:=43099
757-th query  distance:=65108.1
758-th query  distance:=10083.3
759-th query  distance:=70645.4
760-th query  distance:=42943.4
761-th query  distance:=54344.8
762-th query  distance:=47802.9
763-th query  distance:=51175.6
764-th query  distance:=60542.9
765-th query  distance:=51748
766-th query  distance:=31823.8
767-th query  distance:=68716.8
768-th query  distance:=50183.1
769-th query  distance:=46034.9
770-th query  distance:=47960.2
771-th query  distance:=48477.5
772-th query  distance:=52733.3
773-th query  distance:=41492.8
774-th query  distance:=57782
775-th query  distance:=33045.9
776-th query  distance:=47797.8
777-th query  distance:=11298.1
778-th query  distance:=46713.3
779-th query  distance:=26661.3
780-th query  distance:=57132.7
781-th query  distance:=54273.6
782-th query  distance:=38769.6
783-th query  distance:=41022.1
784-th query  distance:=18794.6
785-th query  distance:=26701.5
786-th query  distance:=26716.8
787-th query  distance:=58048.9
788-th query  distance:=15951.1
789-th query  distance:=61908.9
790-th query  distance:=38956.9
791-th query  distance:=23689.3
792-th query  distance:=49677.7
793-th query  distance:=41435.8
794-th query  distance:=49733
795-th query  distance:=32306.9
796-th query  distance:=44081
797-th query  distance:=51888.6
798-th query  distance:=53804.6
799-th query  distance:=55517.6
800-th query  distance:=46984.9
801-th query  distance:=41370.4
802-th query  distance:=21054.4
803-th query  distance:=44188.7
804-th query  distance:=22817.1
805-th query  distance:=35397
806-th query  distance:=52918.9
807-th query  distance:=34449.6
808-th query  distance:=34999.9
809-th query  distance:=27585.3
810-th query  distance:=47543.3
811-th query  distance:=51143
812-th query  distance:=27698.4
813-th query  distance:=39802.2
814-th query  distance:=56730.3
815-th query  distance:=11910.6
816-th query  distance:=22190.2
817-th query  distance:=53057.8
818-th query  distance:=47784.2
819-th query  distance:=65369.9
820-th query  distance:=43394.2
821-th query  distance:=50302
822-th query  distance:=47747.4
823-th query  distance:=17167.7
824-th query  distance:=52992.9
825-th query  distance:=47104.2
826-th query  distance:=38047.9
827-th query  distance:=49682.1
828-th query  distance:=32226.9
829-th query  distance:=35616.6
830-th query  distance:=37912.5
831-th query  distance:=54709.8
832-th query  distance:=37088.5
833-th query  distance:=49861.7
834-th query  distance:=58913.5
835-th query  distance:=38261.3
836-th query  distance:=50576
837-th query  distance:=30165.8
838-th query  distance:=62290.9
839-th query  distance:=12724.7
840-th query  distance:=22884.8
841-th query  distance:=50165.2
842-th query  distance:=47755.4
843-th query  distance:=58877.2
844-th query  distance:=50611.9
845-th query  distance:=17752.5
846-th query  distance:=1104.56
847-th query  distance:=57364.1
848-th query  distance:=31236.8
849-th query  distance:=4886.92
850-th query  distance:=1219.37
851-th query  distance:=53164.1
852-th query  distance:=35603
853-th query  distance:=29607.5
854-th query  distance:=25616
855-th query  distance:=79161.2
856-th query  distance:=49158.2
857-th query  distance:=59147.2
858-th query  distance:=28279
859-th query  distance:=53873.4
860-th query  distance:=59553.3
861-th query  distance:=64613.1
862-th query  distance:=33503.9
863-th query  distance:=31907.6
864-th query  distance:=49377.9
865-th query  distance:=31884.6
866-th query  distance:=39345.5
867-th query  distance:=48491.7
868-th query  distance:=42166
869-th query  distance:=49927.8
870-th query  distance:=23807.8
871-th query  distance:=43290.6
872-th query  distance:=43315
873-th query  distance:=18970.1
874-th query  distance:=43985.4
875-th query  distance:=20974.7
876-th query  distance:=46273.4
877-th query  distance:=38636.6
878-th query  distance:=24485.3
879-th query  distance:=18642.9
880-th query  distance:=60635.4
881-th query  distance:=18379.7
882-th query  distance:=44085.1
883-th query  distance:=20082.4
884-th query  distance:=23360.4
885-th query  distance:=34322
886-th query  distance:=38254.4
887-th query  distance:=41808.7
888-th query  distance:=38017
889-th query  distance:=60543.2
890-th query  distance:=8858.41
891-th query  distance:=58916.2
892-th query  distance:=34827.1
893-th query  distance:=9384.9
894-th query  distance:=38025.2
895-th query  distance:=35562.5
896-th query  distance:=26753.5
897-th query  distance:=35691.6
898-th query  distance:=52087
899-th query  distance:=34500.6
900-th query  distance:=41410.2
901-th query  distance:=61651.1
902-th query  distance:=26124.8
903-th query  distance:=39544.7
904-th query  distance:=40493.6
905-th query  distance:=44179.7
906-th query  distance:=50922.5
907-th query  distance:=34098.8
908-th query  distance:=12529.4
909-th query  distance:=44870.8
910-th query  distance:=82620.9
911-th query  distance:=67285.1
912-th query  distance:=43811.6
913-th query  distance:=34040.4
914-th query  distance:=19623.6
915-th query  distance:=20998
916-th query  distance:=47439.1
917-th query  distance:=66274
918-th query  distance:=67541.5
919-th query  distance:=43370.3
920-th query  distance:=34124.5
921-th query  distance:=54610.8
922-th query  distance:=14802.4
923-th query  distance:=37833.2
924-th query  distance:=31423.9
925-th query  distance:=10529.9
926-th query  distance:=57118.1
927-th query  distance:=59645.3
928-th query  distance:=34996.2
929-th query  distance:=41214.6
930-th query  distance:=61986.6
931-th query  distance:=36886.5
932-th query  distance:=51631.4
933-th query  distance:=48212.6
934-th query  distance:=60903.2
935-th query  distance:=41067.2
936-th query  distance:=23963.9
937-th query  distance:=60662.1
938-th query  distance:=36424.3
939-th query  distance:=44038.4
940-th query  distance:=45410.3
941-th query  distance:=45170.5
942-th query  distance:=48680.1
943-th query  distance:=17848.2
944-th query  distance:=30610.9
945-th query  distance:=73905
946-th query  distance:=21569.1
947-th query  distance:=58895.1
948-th query  distance:=51343.1
949-th query  distance:=46136.5
950-th query  distance:=15046.1
951-th query  distance:=40225.2
952-th query  distance:=44665.5
953-th query  distance:=41252.3
954-th query  distance:=48298.9
955-th query  distance:=30706.8
956-th query  distance:=36860
957-th query  distance:=26029.3
958-th query  distance:=51150.5
959-th query  distance:=47958.7
960-th query  distance:=37987.8
961-th query  distance:=49880.2
962-th query  distance:=47101.9
963-th query  distance:=43830.6
964-th query  distance:=68662.1
965-th query  distance:=29717.8
966-th query  distance:=66275.4
967-th query  distance:=46382.9
968-th query  distance:=40610.5
969-th query  distance:=37358.1
970-th query  distance:=52590.1
971-th query  distance:=62218.5
972-th query  distance:=30371.7
973-th query  distance:=31293.6
974-th query  distance:=52078.3
975-th query  distance:=36833.1
976-th query  distance:=16865.6
977-th query  distance:=52311.8
978-th query  distance:=51397.5
979-th query  distance:=36429.5
980-th query  distance:=89384.6
981-th query  distance:=47082
982-th query  distance:=17694.5
983-th query  distance:=45858.9
984-th query  distance:=6209.89
985-th query  distance:=36694.2
986-th query  distance:=42871.3
987-th query  distance:=29880.1
988-th query  distance:=54600.5
989-th query  distance:=36535.9
990-th query  distance:=52050.2
991-th query  distance:=47744.6
992-th query  distance:=53156.7
993-th query  distance:=55859
994-th query  distance:=43278.6
995-th query  distance:=63244.7
996-th query  distance:=50232.5
997-th query  distance:=53514.4
998-th query  distance:=42652.8
999-th query  distance:=71988.5
1000-th query  distance:=40963.7
1001-th query  distance:=19667.3
1002-th query  distance:=35570.7
1003-th query  distance:=71693.2
1004-th query  distance:=48145.8
1005-th query  distance:=56804.9
1006-th query  distance:=20377.4
1007-th query  distance:=57286.6
1008-th query  distance:=41548.3
1009-th query  distance:=46248
