value range,counter,percentage,nth,HistogramType
[80000 ~ 90000),40,0.004,8,CENTROID
[90000 ~ 100000],5,0.0005,8,CENTROID
[0 ~ 10000),436,0.0436,9,CENTROID
[10000 ~ 20000),872,0.0872,9,CENTROID
[20000 ~ 30000),1341,0.1341,9,CENTROID
[30000 ~ 40000),1998,0.1998,9,CENTROID
[40000 ~ 50000),2403,0.2403,9,CENTROID
[50000 ~ 60000),1890,0.189,9,CENTROID
[60000 ~ 70000),787,0.0787,9,CENTROID
[70000 ~ 80000),227,0.0227,9,CENTROID
[80000 ~ 90000),40,0.004,9,CENTROID
[90000 ~ 100000],5,0.0005,9,CENTROID
[0 ~ 10000),429,0.0429,10,CENTROID
[10000 ~ 20000),856,0.0856,10,CENTROID
[20000 ~ 30000),1323,0.1323,10,CENTROID
[30000 ~ 40000),1954,0.1954,10,CENTROID
[40000 ~ 50000),2408,0.2408,10,CENTROID
[50000 ~ 60000),1928,0.1928,10,CENTROID
[60000 ~ 70000),813,0.0813,10,CENTROID
[70000 ~ 80000),241,0.0241,10,CENTROID
[80000 ~ 90000),41,0.0041,10,CENTROID
[90000 ~ 100000],6,0.0006,10,CENTROID
[0 ~ 10000),423,0.0423,11,CENTROID
[10000 ~ 20000),848,0.0848,11,CENTROID
[20000 ~ 30000),1293,0.1293,11,CENTROID
[30000 ~ 40000),1917,0.1917,11,CENTROID
[40000 ~ 50000),2407,0.2407,11,CENTROID
[50000 ~ 60000),1966,0.1966,11,CENTROID
[60000 ~ 70000),839,0.0839,11,CENTROID
[70000 ~ 80000),255,0.0255,11,CENTROID
[80000 ~ 90000),44,0.0044,11,CENTROID
[90000 ~ 100000],7,0.0007,11,CENTROID
[0 ~ 10000),415,0.0415,12,CENTROID
[10000 ~ 20000),832,0.0832,12,CENTROID
[20000 ~ 30000),1272,0.1272,12,CENTROID
[30000 ~ 40000),1893,0.1893,12,CENTROID
[40000 ~ 50000),2392,0.2392,12,CENTROID
[50000 ~ 60000),2003,0.2003,12,CENTROID
[60000 ~ 70000),874,0.0874,12,CENTROID
[70000 ~ 80000),265,0.0265,12,CENTROID
[80000 ~ 90000),46,0.0046,12,CENTROID
[90000 ~ 100000],7,0.0007,12,CENTROID
[0 ~ 10000),411,0.0411,13,CENTROID
[10000 ~ 20000),824,0.0824,13,CENTROID
[20000 ~ 30000),1246,0.1246,13,CENTROID
[30000 ~ 40000),1881,0.1881,13,CENTROID
[40000 ~ 50000),2382,0.2382,13,CENTROID
[50000 ~ 60000),2019,0.2019,13,CENTROID
[60000 ~ 70000),906,0.0906,13,CENTROID
[70000 ~ 80000),273,0.0273,13,CENTROID
[80000 ~ 90000),49,0.0049,13,CENTROID
[90000 ~ 100000],8,0.0008,13,CENTROID
[0 ~ 10000),404,0.0404,14,CENTROID
[10000 ~ 20000),816,0.0816,14,CENTROID
[20000 ~ 30000),1235,0.1235,14,CENTROID
[30000 ~ 40000),1854,0.1854,14,CENTROID
[40000 ~ 50000),2367,0.2367,14,CENTROID
[50000 ~ 60000),2037,0.2037,14,CENTROID
[60000 ~ 70000),945,0.0945,14,CENTROID
[70000 ~ 80000),280,0.028,14,CENTROID
[80000 ~ 90000),53,0.0053,14,CENTROID
[90000 ~ 100000],8,0.0008,14,CENTROID
[0 ~ 10000),402,0.0402,15,CENTROID
[10000 ~ 20000),803,0.0803,15,CENTROID
[20000 ~ 30000),1219,0.1219,15,CENTROID
[30000 ~ 40000),1841,0.1841,15,CENTROID
[40000 ~ 50000),2345,0.2345,15,CENTROID
[50000 ~ 60000),2062,0.2062,15,CENTROID
[60000 ~ 70000),974,0.0974,15,CENTROID
[70000 ~ 80000),287,0.0287,15,CENTROID
[80000 ~ 90000),58,0.0058,15,CENTROID
[90000 ~ 100000],8,0.0008,15,CENTROID
[0 ~ 10000),398,0.0398,16,CENTROID
[10000 ~ 20000),791,0.0791,16,CENTROID
[20000 ~ 30000),1214,0.1214,16,CENTROID
[30000 ~ 40000),1811,0.1811,16,CENTROID
[40000 ~ 50000),2329,0.2329,16,CENTROID
[50000 ~ 60000),2097,0.2097,16,CENTROID
[60000 ~ 70000),996,0.0996,16,CENTROID
[70000 ~ 80000),293,0.0293,16,CENTROID
[80000 ~ 90000),60,0.006,16,CENTROID
[90000 ~ 100000],9,0.0009,16,CENTROID
[0 ~ 10000),389,0.0389,17,CENTROID
[10000 ~ 20000),779,0.0779,17,CENTROID
[20000 ~ 30000),1217,0.1217,17,CENTROID
[30000 ~ 40000),1785,0.1785,17,CENTROID
[40000 ~ 50000),2315,0.2315,17,CENTROID
[50000 ~ 60000),2124,0.2124,17,CENTROID
[60000 ~ 70000),1014,0.1014,17,CENTROID
[70000 ~ 80000),303,0.0303,17,CENTROID
[80000 ~ 90000),63,0.0063,17,CENTROID
[90000 ~ 100000],9,0.0009,17,CENTROID
[0 ~ 10000),388,0.0388,18,CENTROID
[10000 ~ 20000),770,0.077,18,CENTROID
[20000 ~ 30000),1201,0.1201,18,CENTROID
[30000 ~ 40000),1771,0.1771,18,CENTROID
[40000 ~ 50000),2307,0.2307,18,CENTROID
[50000 ~ 60000),2140,0.214,18,CENTROID
[60000 ~ 70000),1030,0.103,18,CENTROID
[70000 ~ 80000),314,0.0314,18,CENTROID
[80000 ~ 90000),68,0.0068,18,CENTROID
[90000 ~ 100000],9,0.0009,18,CENTROID
[0 ~ 10000),383,0.0383,19,CENTROID
[10000 ~ 20000),766,0.0766,19,CENTROID
[20000 ~ 30000),1188,0.1188,19,CENTROID
[30000 ~ 40000),1757,0.1757,19,CENTROID
[40000 ~ 50000),2300,0.23,19,CENTROID
[50000 ~ 60000),2153,0.2153,19,CENTROID
[60000 ~ 70000),1046,0.1046,19,CENTROID
[70000 ~ 80000),325,0.0325,19,CENTROID
[80000 ~ 90000),69,0.0069,19,CENTROID
[90000 ~ 100000],11,0.0011,19,CENTROID
[0 ~ 10000),376,0.0376,20,CENTROID
[10000 ~ 20000),762,0.0762,20,CENTROID
[20000 ~ 30000),1174,0.1174,20,CENTROID
[30000 ~ 40000),1737,0.1737,20,CENTROID
[40000 ~ 50000),2307,0.2307,20,CENTROID
[50000 ~ 60000),2171,0.2171,20,CENTROID
[60000 ~ 70000),1052,0.1052,20,CENTROID
[70000 ~ 80000),336,0.0336,20,CENTROID
[80000 ~ 90000),72,0.0072,20,CENTROID
[90000 ~ 100000],11,0.0011,20,CENTROID
[0 ~ 10000),374,0.0374,21,CENTROID
[10000 ~ 20000),758,0.0758,21,CENTROID
[20000 ~ 30000),1161,0.1161,21,CENTROID
[30000 ~ 40000),1710,0.171,21,CENTROID
[40000 ~ 50000),2308,0.2308,21,CENTROID
[50000 ~ 60000),2181,0.2181,21,CENTROID
[60000 ~ 70000),1079,0.1079,21,CENTROID
[70000 ~ 80000),340,0.034,21,CENTROID
[80000 ~ 90000),76,0.0076,21,CENTROID
[90000 ~ 100000],11,0.0011,21,CENTROID
[0 ~ 10000),371,0.0371,22,CENTROID
[10000 ~ 20000),747,0.0747,22,CENTROID
[20000 ~ 30000),1156,0.1156,22,CENTROID
[30000 ~ 40000),1694,0.1694,22,CENTROID
[40000 ~ 50000),2304,0.2304,22,CENTROID
[50000 ~ 60000),2192,0.2192,22,CENTROID
[60000 ~ 70000),1097,0.1097,22,CENTROID
[70000 ~ 80000),348,0.0348,22,CENTROID
[80000 ~ 90000),77,0.0077,22,CENTROID
[90000 ~ 100000],12,0.0012,22,CENTROID
[0 ~ 10000),366,0.0366,23,CENTROID
[10000 ~ 20000),743,0.0743,23,CENTROID
[20000 ~ 30000),1154,0.1154,23,CENTROID
[30000 ~ 40000),1674,0.1674,23,CENTROID
[40000 ~ 50000),2295,0.2295,23,CENTROID
[50000 ~ 60000),2198,0.2198,23,CENTROID
[60000 ~ 70000),1125,0.1125,23,CENTROID
[70000 ~ 80000),352,0.0352,23,CENTROID
[80000 ~ 90000),77,0.0077,23,CENTROID
[90000 ~ 100000],14,0.0014,23,CENTROID
[0 ~ 10000),361,0.0361,24,CENTROID
[10000 ~ 20000),741,0.0741,24,CENTROID
[20000 ~ 30000),1146,0.1146,24,CENTROID
[30000 ~ 40000),1656,0.1656,24,CENTROID
[40000 ~ 50000),2284,0.2284,24,CENTROID
[50000 ~ 60000),2209,0.2209,24,CENTROID
[60000 ~ 70000),1152,0.1152,24,CENTROID
[70000 ~ 80000),355,0.0355,24,CENTROID
[80000 ~ 90000),80,0.008,24,CENTROID
[90000 ~ 100000],14,0.0014,24,CENTROID
[0 ~ 10000),359,0.0359,25,CENTROID
[10000 ~ 20000),736,0.0736,25,CENTROID
[20000 ~ 30000),1139,0.1139,25,CENTROID
[30000 ~ 40000),1647,0.1647,25,CENTROID
[40000 ~ 50000),2267,0.2267,25,CENTROID
[50000 ~ 60000),2214,0.2214,25,CENTROID
[60000 ~ 70000),1174,0.1174,25,CENTROID
[70000 ~ 80000),364,0.0364,25,CENTROID
[80000 ~ 90000),84,0.0084,25,CENTROID
[90000 ~ 100000],14,0.0014,25,CENTROID
[0 ~ 10000),354,0.0354,26,CENTROID
[10000 ~ 20000),737,0.0737,26,CENTROID
[20000 ~ 30000),1126,0.1126,26,CENTROID
[30000 ~ 40000),1638,0.1638,26,CENTROID
[40000 ~ 50000),2252,0.2252,26,CENTROID
[50000 ~ 60000),2229,0.2229,26,CENTROID
[60000 ~ 70000),1187,0.1187,26,CENTROID
[70000 ~ 80000),377,0.0377,26,CENTROID
[80000 ~ 90000),84,0.0084,26,CENTROID
[90000 ~ 100000],14,0.0014,26,CENTROID
[0 ~ 10000),350,0.035,27,CENTROID
[10000 ~ 20000),733,0.0733,27,CENTROID
[20000 ~ 30000),1115,0.1115,27,CENTROID
[30000 ~ 40000),1637,0.1637,27,CENTROID
[40000 ~ 50000),2233,0.2233,27,CENTROID
[50000 ~ 60000),2237,0.2237,27,CENTROID
[60000 ~ 70000),1200,0.12,27,CENTROID
[70000 ~ 80000),392,0.0392,27,CENTROID
[80000 ~ 90000),87,0.0087,27,CENTROID
[90000 ~ 100000],13,0.0013,27,CENTROID
[0 ~ 10000),345,0.0345,28,CENTROID
[10000 ~ 20000),730,0.073,28,CENTROID
[20000 ~ 30000),1107,0.1107,28,CENTROID
[30000 ~ 40000),1623,0.1623,28,CENTROID
[40000 ~ 50000),2226,0.2226,28,CENTROID
[50000 ~ 60000),2252,0.2252,28,CENTROID
[60000 ~ 70000),1217,0.1217,28,CENTROID
[70000 ~ 80000),395,0.0395,28,CENTROID
[80000 ~ 90000),89,0.0089,28,CENTROID
[90000 ~ 100000],13,0.0013,28,CENTROID
[0 ~ 10000),343,0.0343,29,CENTROID
[10000 ~ 20000),726,0.0726,29,CENTROID
[20000 ~ 30000),1095,0.1095,29,CENTROID
[30000 ~ 40000),1623,0.1623,29,CENTROID
[40000 ~ 50000),2212,0.2212,29,CENTROID
[50000 ~ 60000),2261,0.2261,29,CENTROID
[60000 ~ 70000),1235,0.1235,29,CENTROID
[70000 ~ 80000),396,0.0396,29,CENTROID
[80000 ~ 90000),93,0.0093,29,CENTROID
[90000 ~ 100000],13,0.0013,29,CENTROID
[0 ~ 10000),343,0.0343,30,CENTROID
[10000 ~ 20000),716,0.0716,30,CENTROID
[20000 ~ 30000),1091,0.1091,30,CENTROID
[30000 ~ 40000),1615,0.1615,30,CENTROID
[40000 ~ 50000),2196,0.2196,30,CENTROID
[50000 ~ 60000),2272,0.2272,30,CENTROID
[60000 ~ 70000),1254,0.1254,30,CENTROID
[70000 ~ 80000),403,0.0403,30,CENTROID
[80000 ~ 90000),93,0.0093,30,CENTROID
[90000 ~ 100000],14,0.0014,30,CENTROID
[0 ~ 10000),338,0.0338,31,CENTROID
[10000 ~ 20000),713,0.0713,31,CENTROID
[20000 ~ 30000),1087,0.1087,31,CENTROID
[30000 ~ 40000),1592,0.1592,31,CENTROID
[40000 ~ 50000),2203,0.2203,31,CENTROID
[50000 ~ 60000),2273,0.2273,31,CENTROID
[60000 ~ 70000),1268,0.1268,31,CENTROID
[70000 ~ 80000),412,0.0412,31,CENTROID
[80000 ~ 90000),97,0.0097,31,CENTROID
[90000 ~ 100000],14,0.0014,31,CENTROID
[0 ~ 10000),335,0.0335,32,CENTROID
[10000 ~ 20000),705,0.0705,32,CENTROID
[20000 ~ 30000),1093,0.1093,32,CENTROID
[30000 ~ 40000),1583,0.1583,32,CENTROID
[40000 ~ 50000),2191,0.2191,32,CENTROID
[50000 ~ 60000),2278,0.2278,32,CENTROID
[60000 ~ 70000),1283,0.1283,32,CENTROID
[70000 ~ 80000),415,0.0415,32,CENTROID
[80000 ~ 90000),100,0.01,32,CENTROID
[90000 ~ 100000],14,0.0014,32,CENTROID
[0 ~ 10000),333,0.0333,33,CENTROID
[10000 ~ 20000),703,0.0703,33,CENTROID
[20000 ~ 30000),1082,0.1082,33,CENTROID
[30000 ~ 40000),1573,0.1573,33,CENTROID
[40000 ~ 50000),2184,0.2184,33,CENTROID
[50000 ~ 60000),2285,0.2285,33,CENTROID
[60000 ~ 70000),1295,0.1295,33,CENTROID
[70000 ~ 80000),424,0.0424,33,CENTROID
[80000 ~ 90000),103,0.0103,33,CENTROID
[90000 ~ 100000],15,0.0015,33,CENTROID
[0 ~ 10000),332,0.0332,34,CENTROID
[10000 ~ 20000),699,0.0699,34,CENTROID
[20000 ~ 30000),1076,0.1076,34,CENTROID
[30000 ~ 40000),1553,0.1553,34,CENTROID
[40000 ~ 50000),2186,0.2186,34,CENTROID
[50000 ~ 60000),2284,0.2284,34,CENTROID
[60000 ~ 70000),1315,0.1315,34,CENTROID
[70000 ~ 80000),434,0.0434,34,CENTROID
[80000 ~ 90000),102,0.0102,34,CENTROID
[90000 ~ 100000],16,0.0016,34,CENTROID
[0 ~ 10000),330,0.033,35,CENTROID
[10000 ~ 20000),693,0.0693,35,CENTROID
[20000 ~ 30000),1070,0.107,35,CENTROID
[30000 ~ 40000),1547,0.1547,35,CENTROID
[40000 ~ 50000),2181,0.2181,35,CENTROID
[50000 ~ 60000),2279,0.2279,35,CENTROID
[60000 ~ 70000),1338,0.1338,35,CENTROID
[70000 ~ 80000),440,0.044,35,CENTROID
[80000 ~ 90000),102,0.0102,35,CENTROID
[90000 ~ 100000],17,0.0017,35,CENTROID
[0 ~ 10000),328,0.0328,36,CENTROID
[10000 ~ 20000),685,0.0685,36,CENTROID
[20000 ~ 30000),1068,0.1068,36,CENTROID
[30000 ~ 40000),1532,0.1532,36,CENTROID
[40000 ~ 50000),2182,0.2182,36,CENTROID
[50000 ~ 60000),2284,0.2284,36,CENTROID
[60000 ~ 70000),1348,0.1348,36,CENTROID
[70000 ~ 80000),449,0.0449,36,CENTROID
[80000 ~ 90000),104,0.0104,36,CENTROID
[90000 ~ 100000],17,0.0017,36,CENTROID
[0 ~ 10000),326,0.0326,37,CENTROID
[10000 ~ 20000),678,0.0678,37,CENTROID
[20000 ~ 30000),1061,0.1061,37,CENTROID
[30000 ~ 40000),1526,0.1526,37,CENTROID
[40000 ~ 50000),2173,0.2173,37,CENTROID
[50000 ~ 60000),2293,0.2293,37,CENTROID
[60000 ~ 70000),1360,0.136,37,CENTROID
[70000 ~ 80000),456,0.0456,37,CENTROID
[80000 ~ 90000),106,0.0106,37,CENTROID
[90000 ~ 100000],17,0.0017,37,CENTROID
[0 ~ 10000),326,0.0326,38,CENTROID
[10000 ~ 20000),669,0.0669,38,CENTROID
[20000 ~ 30000),1062,0.1062,38,CENTROID
[30000 ~ 40000),1520,0.152,38,CENTROID
[40000 ~ 50000),2157,0.2157,38,CENTROID
[50000 ~ 60000),2294,0.2294,38,CENTROID
[60000 ~ 70000),1380,0.138,38,CENTROID
[70000 ~ 80000),462,0.0462,38,CENTROID
[80000 ~ 90000),109,0.0109,38,CENTROID
[90000 ~ 100000],17,0.0017,38,CENTROID
[0 ~ 10000),325,0.0325,39,CENTROID
[10000 ~ 20000),667,0.0667,39,CENTROID
[20000 ~ 30000),1048,0.1048,39,CENTROID
[30000 ~ 40000),1521,0.1521,39,CENTROID
[40000 ~ 50000),2140,0.214,39,CENTROID
[50000 ~ 60000),2311,0.2311,39,CENTROID
[60000 ~ 70000),1391,0.1391,39,CENTROID
[70000 ~ 80000),465,0.0465,39,CENTROID
[80000 ~ 90000),110,0.011,39,CENTROID
[90000 ~ 100000],17,0.0017,39,CENTROID
[0 ~ 10000),323,0.0323,40,CENTROID
[10000 ~ 20000),662,0.0662,40,CENTROID
[20000 ~ 30000),1042,0.1042,40,CENTROID
[30000 ~ 40000),1510,0.151,40,CENTROID
[40000 ~ 50000),2140,0.214,40,CENTROID
[50000 ~ 60000),2315,0.2315,40,CENTROID
[60000 ~ 70000),1403,0.1403,40,CENTROID
[70000 ~ 80000),471,0.0471,40,CENTROID
[80000 ~ 90000),112,0.0112,40,CENTROID
[90000 ~ 100000],17,0.0017,40,CENTROID
[0 ~ 10000),319,0.0319,41,CENTROID
[10000 ~ 20000),660,0.066,41,CENTROID
[20000 ~ 30000),1040,0.104,41,CENTROID
[30000 ~ 40000),1508,0.1508,41,CENTROID
[40000 ~ 50000),2119,0.2119,41,CENTROID
[50000 ~ 60000),2329,0.2329,41,CENTROID
[60000 ~ 70000),1410,0.141,41,CENTROID
[70000 ~ 80000),475,0.0475,41,CENTROID
[80000 ~ 90000),118,0.0118,41,CENTROID
[90000 ~ 100000],17,0.0017,41,CENTROID
[0 ~ 10000),318,0.0318,42,CENTROID
[10000 ~ 20000),651,0.0651,42,CENTROID
[20000 ~ 30000),1036,0.1036,42,CENTROID
[30000 ~ 40000),1497,0.1497,42,CENTROID
[40000 ~ 50000),2112,0.2112,42,CENTROID
[50000 ~ 60000),2338,0.2338,42,CENTROID
[60000 ~ 70000),1425,0.1425,42,CENTROID
[70000 ~ 80000),476,0.0476,42,CENTROID
[80000 ~ 90000),124,0.0124,42,CENTROID
[90000 ~ 100000],18,0.0018,42,CENTROID
[0 ~ 10000),318,0.0318,43,CENTROID
[10000 ~ 20000),646,0.0646,43,CENTROID
[20000 ~ 30000),1031,0.1031,43,CENTROID
[30000 ~ 40000),1492,0.1492,43,CENTROID
[40000 ~ 50000),2098,0.2098,43,CENTROID
[50000 ~ 60000),2345,0.2345,43,CENTROID
[60000 ~ 70000),1437,0.1437,43,CENTROID
[70000 ~ 80000),486,0.0486,43,CENTROID
[80000 ~ 90000),121,0.0121,43,CENTROID
[90000 ~ 100000],21,0.0021,43,CENTROID
[0 ~ 10000),318,0.0318,44,CENTROID
[10000 ~ 20000),640,0.064,44,CENTROID
[20000 ~ 30000),1030,0.103,44,CENTROID
[30000 ~ 40000),1486,0.1486,44,CENTROID
[40000 ~ 50000),2087,0.2087,44,CENTROID
[50000 ~ 60000),2346,0.2346,44,CENTROID
[60000 ~ 70000),1456,0.1456,44,CENTROID
[70000 ~ 80000),487,0.0487,44,CENTROID
[80000 ~ 90000),123,0.0123,44,CENTROID
[90000 ~ 100000],22,0.0022,44,CENTROID
[0 ~ 10000),316,0.0316,45,CENTROID
[10000 ~ 20000),636,0.0636,45,CENTROID
[20000 ~ 30000),1022,0.1022,45,CENTROID
[30000 ~ 40000),1483,0.1483,45,CENTROID
[40000 ~ 50000),2082,0.2082,45,CENTROID
[50000 ~ 60000),2341,0.2341,45,CENTROID
[60000 ~ 70000),1476,0.1476,45,CENTROID
[70000 ~ 80000),489,0.0489,45,CENTROID
[80000 ~ 90000),126,0.0126,45,CENTROID
[90000 ~ 100000],24,0.0024,45,CENTROID
[0 ~ 10000),316,0.0316,46,CENTROID
[10000 ~ 20000),634,0.0634,46,CENTROID
[20000 ~ 30000),1011,0.1011,46,CENTROID
[30000 ~ 40000),1475,0.1475,46,CENTROID
[40000 ~ 50000),2081,0.2081,46,CENTROID
[50000 ~ 60000),2340,0.234,46,CENTROID
[60000 ~ 70000),1487,0.1487,46,CENTROID
[70000 ~ 80000),500,0.05,46,CENTROID
[80000 ~ 90000),127,0.0127,46,CENTROID
[90000 ~ 100000],24,0.0024,46,CENTROID
[0 ~ 10000),314,0.0314,47,CENTROID
[10000 ~ 20000),624,0.0624,47,CENTROID
[20000 ~ 30000),1017,0.1017,47,CENTROID
[30000 ~ 40000),1461,0.1461,47,CENTROID
[40000 ~ 50000),2080,0.208,47,CENTROID
[50000 ~ 60000),2343,0.2343,47,CENTROID
[60000 ~ 70000),1496,0.1496,47,CENTROID
[70000 ~ 80000),507,0.0507,47,CENTROID
[80000 ~ 90000),129,0.0129,47,CENTROID
[90000 ~ 100000],24,0.0024,47,CENTROID
[0 ~ 10000),313,0.0313,48,CENTROID
[10000 ~ 20000),615,0.0615,48,CENTROID
[20000 ~ 30000),1017,0.1017,48,CENTROID
[30000 ~ 40000),1458,0.1458,48,CENTROID
[40000 ~ 50000),2077,0.2077,48,CENTROID
[50000 ~ 60000),2339,0.2339,48,CENTROID
[60000 ~ 70000),1509,0.1509,48,CENTROID
[70000 ~ 80000),510,0.051,48,CENTROID
[80000 ~ 90000),131,0.0131,48,CENTROID
[90000 ~ 100000],26,0.0026,48,CENTROID
[0 ~ 10000),313,0.0313,49,CENTROID
[10000 ~ 20000),611,0.0611,49,CENTROID
[20000 ~ 30000),1012,0.1012,49,CENTROID
[30000 ~ 40000),1449,0.1449,49,CENTROID
[40000 ~ 50000),2072,0.2072,49,CENTROID
[50000 ~ 60000),2344,0.2344,49,CENTROID
[60000 ~ 70000),1516,0.1516,49,CENTROID
[70000 ~ 80000),517,0.0517,49,CENTROID
[80000 ~ 90000),135,0.0135,49,CENTROID
[90000 ~ 100000],26,0.0026,49,CENTROID
[0 ~ 10000),313,0.0313,50,CENTROID
[10000 ~ 20000),608,0.0608,50,CENTROID
[20000 ~ 30000),1005,0.1005,50,CENTROID
[30000 ~ 40000),1439,0.1439,50,CENTROID
[40000 ~ 50000),2066,0.2066,50,CENTROID
[50000 ~ 60000),2347,0.2347,50,CENTROID
[60000 ~ 70000),1527,0.1527,50,CENTROID
[70000 ~ 80000),525,0.0525,50,CENTROID
[80000 ~ 90000),139,0.0139,50,CENTROID
[90000 ~ 100000],26,0.0026,50,CENTROID
[0 ~ 10000),313,0.0313,51,CENTROID
[10000 ~ 20000),601,0.0601,51,CENTROID
[20000 ~ 30000),999,0.0999,51,CENTROID
