value range,counter,percentage,nth,HistogramType
[0 ~ 10000),141186,0.141186,9,CENTROID
[10000 ~ 20000),490361,0.490361,9,CENTROID
[20000 ~ 30000),365464,0.365464,9,CENTROID
[30000 ~ 40000),2821,0.002821,9,CENTROID
[40000 ~ 50000),109,0.000109,9,CENTROID
[50000 ~ 60000),36,3.6e-05,9,CENTROID
[60000 ~ 70000),19,1.9e-05,9,CENTROID
[70000 ~ 80000),4,4e-06,9,CENTROID
[80000 ~ 90000),0,0,9,CENTROID
[90000 ~ 100000],0,0,9,CENTROID
[0 ~ 10000),135865,0.135865,10,CENTROID
[10000 ~ 20000),465239,0.465239,10,CENTROID
[20000 ~ 30000),394964,0.394964,10,CENTROID
[30000 ~ 40000),3749,0.003749,10,CENTROID
[40000 ~ 50000),118,0.000118,10,CENTROID
[50000 ~ 60000),39,3.9e-05,10,CENTROID
[60000 ~ 70000),21,2.1e-05,10,CENTROID
[70000 ~ 80000),5,5e-06,10,CENTROID
[80000 ~ 90000),0,0,10,CENTROID
[90000 ~ 100000],0,0,10,CENTROID
[0 ~ 10000),131325,0.131325,11,CENTROID
[10000 ~ 20000),442337,0.442337,11,CENTROID
[20000 ~ 30000),421257,0.421257,11,CENTROID
[30000 ~ 40000),4876,0.004876,11,CENTROID
[40000 ~ 50000),136,0.000136,11,CENTROID
[50000 ~ 60000),41,4.1e-05,11,CENTROID
[60000 ~ 70000),22,2.2e-05,11,CENTROID
[70000 ~ 80000),5,5e-06,11,CENTROID
[80000 ~ 90000),1,1e-06,11,CENTROID
[90000 ~ 100000],0,0,11,CENTROID
[0 ~ 10000),127330,0.12733,12,CENTROID
[10000 ~ 20000),421765,0.421765,12,CENTROID
[20000 ~ 30000),444413,0.444413,12,CENTROID
[30000 ~ 40000),6271,0.006271,12,CENTROID
[40000 ~ 50000),145,0.000145,12,CENTROID
[50000 ~ 60000),47,4.7e-05,12,CENTROID
[60000 ~ 70000),23,2.3e-05,12,CENTROID
[70000 ~ 80000),5,5e-06,12,CENTROID
[80000 ~ 90000),1,1e-06,12,CENTROID
[90000 ~ 100000],0,0,12,CENTROID
[0 ~ 10000),123681,0.123681,13,CENTROID
[10000 ~ 20000),403735,0.403735,13,CENTROID
[20000 ~ 30000),464417,0.464417,13,CENTROID
[30000 ~ 40000),7917,0.007917,13,CENTROID
[40000 ~ 50000),169,0.000169,13,CENTROID
[50000 ~ 60000),50,5e-05,13,CENTROID
[60000 ~ 70000),25,2.5e-05,13,CENTROID
[70000 ~ 80000),5,5e-06,13,CENTROID
[80000 ~ 90000),1,1e-06,13,CENTROID
[90000 ~ 100000],0,0,13,CENTROID
[0 ~ 10000),120358,0.120358,14,CENTROID
[10000 ~ 20000),387340,0.38734,14,CENTROID
[20000 ~ 30000),482022,0.482022,14,CENTROID
[30000 ~ 40000),10000,0.01,14,CENTROID
[40000 ~ 50000),194,0.000194,14,CENTROID
[50000 ~ 60000),53,5.3e-05,14,CENTROID
[60000 ~ 70000),27,2.7e-05,14,CENTROID
[70000 ~ 80000),5,5e-06,14,CENTROID
[80000 ~ 90000),1,1e-06,14,CENTROID
[90000 ~ 100000],0,0,14,CENTROID
[0 ~ 10000),117358,0.117358,15,CENTROID
[10000 ~ 20000),372647,0.372647,15,CENTROID
[20000 ~ 30000),497247,0.497247,15,CENTROID
[30000 ~ 40000),12435,0.012435,15,CENTROID
[40000 ~ 50000),222,0.000222,15,CENTROID
[50000 ~ 60000),56,5.6e-05,15,CENTROID
[60000 ~ 70000),29,2.9e-05,15,CENTROID
[70000 ~ 80000),5,5e-06,15,CENTROID
[80000 ~ 90000),1,1e-06,15,CENTROID
[90000 ~ 100000],0,0,15,CENTROID
[0 ~ 10000),114593,0.114593,16,CENTROID
[10000 ~ 20000),359334,0.359334,16,CENTROID
[20000 ~ 30000),510498,0.510498,16,CENTROID
[30000 ~ 40000),15238,0.015238,16,CENTROID
[40000 ~ 50000),241,0.000241,16,CENTROID
[50000 ~ 60000),59,5.9e-05,16,CENTROID
[60000 ~ 70000),28,2.8e-05,16,CENTROID
[70000 ~ 80000),8,8e-06,16,CENTROID
[80000 ~ 90000),1,1e-06,16,CENTROID
[90000 ~ 100000],0,0,16,CENTROID
[0 ~ 10000),112053,0.112053,17,CENTROID
[10000 ~ 20000),347513,0.347513,17,CENTROID
[20000 ~ 30000),521457,0.521457,17,CENTROID
[30000 ~ 40000),18605,0.018605,17,CENTROID
[40000 ~ 50000),270,0.00027,17,CENTROID
[50000 ~ 60000),65,6.5e-05,17,CENTROID
[60000 ~ 70000),27,2.7e-05,17,CENTROID
[70000 ~ 80000),9,9e-06,17,CENTROID
[80000 ~ 90000),1,1e-06,17,CENTROID
[90000 ~ 100000],0,0,17,CENTROID
[0 ~ 10000),109720,0.10972,18,CENTROID
[10000 ~ 20000),336697,0.336697,18,CENTROID
[20000 ~ 30000),530841,0.530841,18,CENTROID
[30000 ~ 40000),22337,0.022337,18,CENTROID
[40000 ~ 50000),302,0.000302,18,CENTROID
[50000 ~ 60000),66,6.6e-05,18,CENTROID
[60000 ~ 70000),26,2.6e-05,18,CENTROID
[70000 ~ 80000),10,1e-05,18,CENTROID
[80000 ~ 90000),1,1e-06,18,CENTROID
[90000 ~ 100000],0,0,18,CENTROID
[0 ~ 10000),107513,0.107513,19,CENTROID
[10000 ~ 20000),326791,0.326791,19,CENTROID
[20000 ~ 30000),538645,0.538645,19,CENTROID
[30000 ~ 40000),26613,0.026613,19,CENTROID
[40000 ~ 50000),330,0.00033,19,CENTROID
[50000 ~ 60000),69,6.9e-05,19,CENTROID
[60000 ~ 70000),27,2.7e-05,19,CENTROID
[70000 ~ 80000),11,1.1e-05,19,CENTROID
[80000 ~ 90000),1,1e-06,19,CENTROID
[90000 ~ 100000],0,0,19,CENTROID
[0 ~ 10000),105458,0.105458,20,CENTROID
[10000 ~ 20000),317718,0.317718,20,CENTROID
[20000 ~ 30000),544853,0.544853,20,CENTROID
[30000 ~ 40000),31496,0.031496,20,CENTROID
[40000 ~ 50000),364,0.000364,20,CENTROID
[50000 ~ 60000),72,7.2e-05,20,CENTROID
[60000 ~ 70000),27,2.7e-05,20,CENTROID
[70000 ~ 80000),9,9e-06,20,CENTROID
[80000 ~ 90000),3,3e-06,20,CENTROID
[90000 ~ 100000],0,0,20,CENTROID
[0 ~ 10000),103579,0.103579,21,CENTROID
[10000 ~ 20000),309457,0.309457,21,CENTROID
[20000 ~ 30000),549750,0.54975,21,CENTROID
[30000 ~ 40000),36702,0.036702,21,CENTROID
[40000 ~ 50000),399,0.000399,21,CENTROID
[50000 ~ 60000),74,7.4e-05,21,CENTROID
[60000 ~ 70000),27,2.7e-05,21,CENTROID
[70000 ~ 80000),8,8e-06,21,CENTROID
[80000 ~ 90000),4,4e-06,21,CENTROID
[90000 ~ 100000],0,0,21,CENTROID
[0 ~ 10000),101825,0.101825,22,CENTROID
[10000 ~ 20000),301954,0.301954,22,CENTROID
[20000 ~ 30000),553282,0.553282,22,CENTROID
[30000 ~ 40000),42380,0.04238,22,CENTROID
[40000 ~ 50000),443,0.000443,22,CENTROID
[50000 ~ 60000),76,7.6e-05,22,CENTROID
[60000 ~ 70000),27,2.7e-05,22,CENTROID
[70000 ~ 80000),9,9e-06,22,CENTROID
[80000 ~ 90000),4,4e-06,22,CENTROID
[90000 ~ 100000],0,0,22,CENTROID
[0 ~ 10000),100181,0.100181,23,CENTROID
[10000 ~ 20000),294883,0.294883,23,CENTROID
[20000 ~ 30000),555781,0.555781,23,CENTROID
[30000 ~ 40000),48543,0.048543,23,CENTROID
[40000 ~ 50000),492,0.000492,23,CENTROID
[50000 ~ 60000),78,7.8e-05,23,CENTROID
[60000 ~ 70000),29,2.9e-05,23,CENTROID
[70000 ~ 80000),9,9e-06,23,CENTROID
[80000 ~ 90000),4,4e-06,23,CENTROID
[90000 ~ 100000],0,0,23,CENTROID
[0 ~ 10000),98544,0.098544,24,CENTROID
[10000 ~ 20000),288572,0.288572,24,CENTROID
[20000 ~ 30000),557121,0.557121,24,CENTROID
[30000 ~ 40000),55088,0.055088,24,CENTROID
[40000 ~ 50000),552,0.000552,24,CENTROID
[50000 ~ 60000),80,8e-05,24,CENTROID
[60000 ~ 70000),29,2.9e-05,24,CENTROID
[70000 ~ 80000),10,1e-05,24,CENTROID
[80000 ~ 90000),4,4e-06,24,CENTROID
[90000 ~ 100000],0,0,24,CENTROID
[0 ~ 10000),97086,0.097086,25,CENTROID
[10000 ~ 20000),282506,0.282506,25,CENTROID
[20000 ~ 30000),557945,0.557945,25,CENTROID
[30000 ~ 40000),61733,0.061733,25,CENTROID
[40000 ~ 50000),601,0.000601,25,CENTROID
[50000 ~ 60000),83,8.3e-05,25,CENTROID
[60000 ~ 70000),31,3.1e-05,25,CENTROID
[70000 ~ 80000),11,1.1e-05,25,CENTROID
[80000 ~ 90000),4,4e-06,25,CENTROID
[90000 ~ 100000],0,0,25,CENTROID
[0 ~ 10000),95624,0.095624,26,CENTROID
[10000 ~ 20000),276895,0.276895,26,CENTROID
[20000 ~ 30000),558033,0.558033,26,CENTROID
[30000 ~ 40000),68652,0.068652,26,CENTROID
[40000 ~ 50000),660,0.00066,26,CENTROID
[50000 ~ 60000),89,8.9e-05,26,CENTROID
[60000 ~ 70000),32,3.2e-05,26,CENTROID
[70000 ~ 80000),11,1.1e-05,26,CENTROID
[80000 ~ 90000),4,4e-06,26,CENTROID
[90000 ~ 100000],0,0,26,CENTROID
[0 ~ 10000),94318,0.094318,27,CENTROID
[10000 ~ 20000),271443,0.271443,27,CENTROID
[20000 ~ 30000),557517,0.557517,27,CENTROID
[30000 ~ 40000),75849,0.075849,27,CENTROID
[40000 ~ 50000),732,0.000732,27,CENTROID
[50000 ~ 60000),92,9.2e-05,27,CENTROID
[60000 ~ 70000),34,3.4e-05,27,CENTROID
[70000 ~ 80000),11,1.1e-05,27,CENTROID
[80000 ~ 90000),4,4e-06,27,CENTROID
[90000 ~ 100000],0,0,27,CENTROID
[0 ~ 10000),93153,0.093153,28,CENTROID
[10000 ~ 20000),266381,0.266381,28,CENTROID
[20000 ~ 30000),556213,0.556213,28,CENTROID
[30000 ~ 40000),83308,0.083308,28,CENTROID
[40000 ~ 50000),801,0.000801,28,CENTROID
[50000 ~ 60000),93,9.3e-05,28,CENTROID
[60000 ~ 70000),35,3.5e-05,28,CENTROID
[70000 ~ 80000),12,1.2e-05,28,CENTROID
[80000 ~ 90000),4,4e-06,28,CENTROID
[90000 ~ 100000],0,0,28,CENTROID
[0 ~ 10000),92001,0.092001,29,CENTROID
[10000 ~ 20000),261820,0.26182,29,CENTROID
[20000 ~ 30000),554310,0.55431,29,CENTROID
[30000 ~ 40000),90845,0.090845,29,CENTROID
[40000 ~ 50000),873,0.000873,29,CENTROID
[50000 ~ 60000),99,9.9e-05,29,CENTROID
[60000 ~ 70000),36,3.6e-05,29,CENTROID
[70000 ~ 80000),12,1.2e-05,29,CENTROID
[80000 ~ 90000),4,4e-06,29,CENTROID
[90000 ~ 100000],0,0,29,CENTROID
[0 ~ 10000),90879,0.090879,30,CENTROID
[10000 ~ 20000),257497,0.257497,30,CENTROID
[20000 ~ 30000),551768,0.551768,30,CENTROID
[30000 ~ 40000),98737,0.098737,30,CENTROID
[40000 ~ 50000),961,0.000961,30,CENTROID
[50000 ~ 60000),105,0.000105,30,CENTROID
[60000 ~ 70000),37,3.7e-05,30,CENTROID
[70000 ~ 80000),12,1.2e-05,30,CENTROID
[80000 ~ 90000),4,4e-06,30,CENTROID
[90000 ~ 100000],0,0,30,CENTROID
[0 ~ 10000),89746,0.089746,31,CENTROID
[10000 ~ 20000),253323,0.253323,31,CENTROID
[20000 ~ 30000),549149,0.549149,31,CENTROID
[30000 ~ 40000),106582,0.106582,31,CENTROID
[40000 ~ 50000),1035,0.001035,31,CENTROID
[50000 ~ 60000),111,0.000111,31,CENTROID
[60000 ~ 70000),37,3.7e-05,31,CENTROID
[70000 ~ 80000),13,1.3e-05,31,CENTROID
[80000 ~ 90000),4,4e-06,31,CENTROID
[90000 ~ 100000],0,0,31,CENTROID
[0 ~ 10000),88716,0.088716,32,CENTROID
[10000 ~ 20000),249335,0.249335,32,CENTROID
[20000 ~ 30000),546192,0.546192,32,CENTROID
[30000 ~ 40000),114455,0.114455,32,CENTROID
[40000 ~ 50000),1133,0.001133,32,CENTROID
[50000 ~ 60000),114,0.000114,32,CENTROID
[60000 ~ 70000),38,3.8e-05,32,CENTROID
[70000 ~ 80000),13,1.3e-05,32,CENTROID
[80000 ~ 90000),4,4e-06,32,CENTROID
[90000 ~ 100000],0,0,32,CENTROID
[0 ~ 10000),87726,0.087726,33,CENTROID
[10000 ~ 20000),245629,0.245629,33,CENTROID
[20000 ~ 30000),542863,0.542863,33,CENTROID
[30000 ~ 40000),122374,0.122374,33,CENTROID
[40000 ~ 50000),1232,0.001232,33,CENTROID
[50000 ~ 60000),118,0.000118,33,CENTROID
[60000 ~ 70000),41,4.1e-05,33,CENTROID
[70000 ~ 80000),13,1.3e-05,33,CENTROID
[80000 ~ 90000),4,4e-06,33,CENTROID
[90000 ~ 100000],0,0,33,CENTROID
[0 ~ 10000),86778,0.086778,34,CENTROID
[10000 ~ 20000),242050,0.24205,34,CENTROID
[20000 ~ 30000),539433,0.539433,34,CENTROID
[30000 ~ 40000),130230,0.13023,34,CENTROID
[40000 ~ 50000),1325,0.001325,34,CENTROID
[50000 ~ 60000),125,0.000125,34,CENTROID
[60000 ~ 70000),41,4.1e-05,34,CENTROID
[70000 ~ 80000),14,1.4e-05,34,CENTROID
[80000 ~ 90000),4,4e-06,34,CENTROID
[90000 ~ 100000],0,0,34,CENTROID
[0 ~ 10000),85891,0.085891,35,CENTROID
[10000 ~ 20000),238871,0.238871,35,CENTROID
[20000 ~ 30000),535571,0.535571,35,CENTROID
[30000 ~ 40000),138034,0.138034,35,CENTROID
[40000 ~ 50000),1442,0.001442,35,CENTROID
[50000 ~ 60000),129,0.000129,35,CENTROID
[60000 ~ 70000),44,4.4e-05,35,CENTROID
[70000 ~ 80000),14,1.4e-05,35,CENTROID
[80000 ~ 90000),4,4e-06,35,CENTROID
[90000 ~ 100000],0,0,35,CENTROID
[0 ~ 10000),85044,0.085044,36,CENTROID
[10000 ~ 20000),235629,0.235629,36,CENTROID
[20000 ~ 30000),531791,0.531791,36,CENTROID
[30000 ~ 40000),145771,0.145771,36,CENTROID
[40000 ~ 50000),1570,0.00157,36,CENTROID
[50000 ~ 60000),132,0.000132,36,CENTROID
[60000 ~ 70000),44,4.4e-05,36,CENTROID
[70000 ~ 80000),15,1.5e-05,36,CENTROID
[80000 ~ 90000),4,4e-06,36,CENTROID
[90000 ~ 100000],0,0,36,CENTROID
[0 ~ 10000),84201,0.084201,37,CENTROID
[10000 ~ 20000),232586,0.232586,37,CENTROID
[20000 ~ 30000),527712,0.527712,37,CENTROID
[30000 ~ 40000),153595,0.153595,37,CENTROID
[40000 ~ 50000),1706,0.001706,37,CENTROID
[50000 ~ 60000),137,0.000137,37,CENTROID
[60000 ~ 70000),43,4.3e-05,37,CENTROID
[70000 ~ 80000),16,1.6e-05,37,CENTROID
[80000 ~ 90000),4,4e-06,37,CENTROID
[90000 ~ 100000],0,0,37,CENTROID
[0 ~ 10000),83389,0.083389,38,CENTROID
[10000 ~ 20000),229661,0.229661,38,CENTROID
[20000 ~ 30000),523495,0.523495,38,CENTROID
[30000 ~ 40000),161413,0.161413,38,CENTROID
[40000 ~ 50000),1834,0.001834,38,CENTROID
[50000 ~ 60000),144,0.000144,38,CENTROID
[60000 ~ 70000),43,4.3e-05,38,CENTROID
[70000 ~ 80000),17,1.7e-05,38,CENTROID
[80000 ~ 90000),4,4e-06,38,CENTROID
[90000 ~ 100000],0,0,38,CENTROID
[0 ~ 10000),82592,0.082592,39,CENTROID
[10000 ~ 20000),226877,0.226877,39,CENTROID
[20000 ~ 30000),519233,0.519233,39,CENTROID
[30000 ~ 40000),169111,0.169111,39,CENTROID
[40000 ~ 50000),1974,0.001974,39,CENTROID
[50000 ~ 60000),149,0.000149,39,CENTROID
[60000 ~ 70000),43,4.3e-05,39,CENTROID
[70000 ~ 80000),17,1.7e-05,39,CENTROID
[80000 ~ 90000),4,4e-06,39,CENTROID
[90000 ~ 100000],0,0,39,CENTROID
[0 ~ 10000),81831,0.081831,40,CENTROID
[10000 ~ 20000),224168,0.224168,40,CENTROID
[20000 ~ 30000),515029,0.515029,40,CENTROID
[30000 ~ 40000),176638,0.176638,40,CENTROID
[40000 ~ 50000),2119,0.002119,40,CENTROID
[50000 ~ 60000),149,0.000149,40,CENTROID
[60000 ~ 70000),45,4.5e-05,40,CENTROID
[70000 ~ 80000),17,1.7e-05,40,CENTROID
[80000 ~ 90000),4,4e-06,40,CENTROID
[90000 ~ 100000],0,0,40,CENTROID
[0 ~ 10000),81136,0.081136,41,CENTROID
[10000 ~ 20000),221592,0.221592,41,CENTROID
[20000 ~ 30000),510735,0.510735,41,CENTROID
[30000 ~ 40000),184053,0.184053,41,CENTROID
[40000 ~ 50000),2265,0.002265,41,CENTROID
[50000 ~ 60000),153,0.000153,41,CENTROID
[60000 ~ 70000),45,4.5e-05,41,CENTROID
[70000 ~ 80000),16,1.6e-05,41,CENTROID
[80000 ~ 90000),5,5e-06,41,CENTROID
[90000 ~ 100000],0,0,41,CENTROID
[0 ~ 10000),80418,0.080418,42,CENTROID
[10000 ~ 20000),219132,0.219132,42,CENTROID
[20000 ~ 30000),506369,0.506369,42,CENTROID
[30000 ~ 40000),191425,0.191425,42,CENTROID
[40000 ~ 50000),2437,0.002437,42,CENTROID
[50000 ~ 60000),151,0.000151,42,CENTROID
[60000 ~ 70000),47,4.7e-05,42,CENTROID
[70000 ~ 80000),16,1.6e-05,42,CENTROID
[80000 ~ 90000),5,5e-06,42,CENTROID
[90000 ~ 100000],0,0,42,CENTROID
[0 ~ 10000),79756,0.079756,43,CENTROID
[10000 ~ 20000),216765,0.216765,43,CENTROID
[20000 ~ 30000),502016,0.502016,43,CENTROID
[30000 ~ 40000),198633,0.198633,43,CENTROID
[40000 ~ 50000),2599,0.002599,43,CENTROID
[50000 ~ 60000),162,0.000162,43,CENTROID
[60000 ~ 70000),48,4.8e-05,43,CENTROID
[70000 ~ 80000),16,1.6e-05,43,CENTROID
[80000 ~ 90000),5,5e-06,43,CENTROID
[90000 ~ 100000],0,0,43,CENTROID
[0 ~ 10000),79089,0.079089,44,CENTROID
[10000 ~ 20000),214526,0.214526,44,CENTROID
[20000 ~ 30000),497794,0.497794,44,CENTROID
[30000 ~ 40000),205577,0.205577,44,CENTROID
[40000 ~ 50000),2778,0.002778,44,CENTROID
[50000 ~ 60000),167,0.000167,44,CENTROID
[60000 ~ 70000),47,4.7e-05,44,CENTROID
[70000 ~ 80000),17,1.7e-05,44,CENTROID
[80000 ~ 90000),5,5e-06,44,CENTROID
[90000 ~ 100000],0,0,44,CENTROID
[0 ~ 10000),78420,0.07842,45,CENTROID
[10000 ~ 20000),212378,0.212378,45,CENTROID
[20000 ~ 30000),493535,0.493535,45,CENTROID
[30000 ~ 40000),212493,0.212493,45,CENTROID
[40000 ~ 50000),2928,0.002928,45,CENTROID
[50000 ~ 60000),177,0.000177,45,CENTROID
[60000 ~ 70000),46,4.6e-05,45,CENTROID
[70000 ~ 80000),18,1.8e-05,45,CENTROID
[80000 ~ 90000),5,5e-06,45,CENTROID
[90000 ~ 100000],0,0,45,CENTROID
[0 ~ 10000),77805,0.077805,46,CENTROID
[10000 ~ 20000),210267,0.210267,46,CENTROID
[20000 ~ 30000),489316,0.489316,46,CENTROID
[30000 ~ 40000),219224,0.219224,46,CENTROID
[40000 ~ 50000),3138,0.003138,46,CENTROID
[50000 ~ 60000),178,0.000178,46,CENTROID
[60000 ~ 70000),49,4.9e-05,46,CENTROID
[70000 ~ 80000),18,1.8e-05,46,CENTROID
[80000 ~ 90000),5,5e-06,46,CENTROID
[90000 ~ 100000],0,0,46,CENTROID
[0 ~ 10000),77174,0.077174,47,CENTROID
[10000 ~ 20000),208339,0.208339,47,CENTROID
[20000 ~ 30000),484985,0.484985,47,CENTROID
[30000 ~ 40000),225909,0.225909,47,CENTROID
[40000 ~ 50000),3337,0.003337,47,CENTROID
[50000 ~ 60000),180,0.00018,47,CENTROID
[60000 ~ 70000),53,5.3e-05,47,CENTROID
[70000 ~ 80000),18,1.8e-05,47,CENTROID
[80000 ~ 90000),5,5e-06,47,CENTROID
[90000 ~ 100000],0,0,47,CENTROID
[0 ~ 10000),76593,0.076593,48,CENTROID
[10000 ~ 20000),206371,0.206371,48,CENTROID
[20000 ~ 30000),480882,0.480882,48,CENTROID
[30000 ~ 40000),232352,0.232352,48,CENTROID
[40000 ~ 50000),3537,0.003537,48,CENTROID
[50000 ~ 60000),187,0.000187,48,CENTROID
[60000 ~ 70000),54,5.4e-05,48,CENTROID
[70000 ~ 80000),19,1.9e-05,48,CENTROID
[80000 ~ 90000),5,5e-06,48,CENTROID
[90000 ~ 100000],0,0,48,CENTROID
[0 ~ 10000),76006,0.076006,49,CENTROID
[10000 ~ 20000),204452,0.204452,49,CENTROID
[20000 ~ 30000),476837,0.476837,49,CENTROID
[30000 ~ 40000),238663,0.238663,49,CENTROID
[40000 ~ 50000),3771,0.003771,49,CENTROID
[50000 ~ 60000),193,0.000193,49,CENTROID
[60000 ~ 70000),52,5.2e-05,49,CENTROID
[70000 ~ 80000),21,2.1e-05,49,CENTROID
[80000 ~ 90000),5,5e-06,49,CENTROID
[90000 ~ 100000],0,0,49,CENTROID
[0 ~ 10000),75379,0.075379,50,CENTROID
[10000 ~ 20000),202605,0.202605,50,CENTROID
[20000 ~ 30000),472949,0.472949,50,CENTROID
[30000 ~ 40000),244797,0.244797,50,CENTROID
[40000 ~ 50000),3992,0.003992,50,CENTROID
[50000 ~ 60000),197,0.000197,50,CENTROID
[60000 ~ 70000),54,5.4e-05,50,CENTROID
[70000 ~ 80000),22,2.2e-05,50,CENTROID
[80000 ~ 90000),5,5e-06,50,CENTROID
[90000 ~ 100000],0,0,50,CENTROID
[0 ~ 10000),74800,0.0748,51,CENTROID
[10000 ~ 20000),200808,0.200808,51,CENTROID
[20000 ~ 30000),468985,0.468985,51,CENTROID
